r,alpha,beta,x
"[0.3036564052907285, 0.32016080433903754, 0.49526802394852437, 0.06297196999949663, 0.4952298008603471]","[0.13403799525303628, 0.05149331726720067, 0.14295988778196264, 0.10249978517045225, 0.08491010235093403]","[0.405804268501553, 0.514230005652822, 0.3832976442980358, 0.48505208803675803, 0.3698570967763839]","[13.403799525303628, 5.1493317267200664, 38.32976442980358, 10.249978517045225, 32.8671258011275]"
"[0.14834643166000921, 0.17609225545394214, 0.4051487598003082, 0.2544745135604313, 0.34909235494552754]","[0.05802905014271125, 0.052549770662875785, 0.14704385132402473, 0.06509984098670053, 0.07987797663913479]","[0.3824337654826944, 0.5021679692773413, 0.4448120649768897, 0.41225769091539977, 0.40704927791976797]","[5.802905014271125, 5.254977066287578, 44.481206497688966, 6.509984098670054, 37.95092732308228]"
"[0.16429550672597437, 0.31358290563450214, 0.44805640920813455, 0.34671462106440964, 0.20413712033953613]","[0.1157249784873807, 0.10643600038642062, 0.063246929281678, 0.1460641587031864, 0.05674826636804976]","[0.3528954607537671, 0.3761501338384466, 0.5284207482154359, 0.36071094547197596, 0.4211483857479661]","[11.57249784873807, 10.643600038642061, 52.84207482154359, 19.267000654271303, 5.674826636804976]"
"[0.3431341189965974, 0.2709828496039712, 0.3222502268366258, 0.4510931288888067, 0.28613558492389163]","[0.09932071123255823, 0.05657889192906171, 0.06427002422365061, 0.11575351080413583, 0.10110900448559333]","[0.37349220763467267, 0.48388105089432276, 0.3926453914375211, 0.48127735230045543, 0.41555071412810973]","[29.676472706123885, 5.657889192906171, 6.427002422365061, 48.127735230045545, 10.110900448559333]"
"[0.18012992770684466, 0.1910026299955307, 0.5160058471097185, 0.40487921189315523, 0.26323927251628265]","[0.14636658820453435, 0.06896585948344294, 0.1379663839502557, 0.13542454689413547, 0.06542302790203347]","[0.436653598394642, 0.5462669652828274, 0.4194919831607646, 0.5204628126846929, 0.5124772869137522]","[14.636658820453436, 6.896585948344295, 41.949198316076455, 29.97525412492247, 6.5423027902033475]"
"[0.07758094518615406, 0.40908146201017276, 0.4825526981663892, 0.4302039410548197, 0.3735521881949344]","[0.12154489026743277, 0.05750971092729963, 0.14913260421684182, 0.09207841347366544, 0.12653159517511697]","[0.39850445349145003, 0.4903219558742963, 0.546561470526284, 0.37992932841028976, 0.44789388117025664]","[12.154489026743278, 5.750971092729963, 54.6561470526284, 14.785233310386657, 12.653159517511698]"
"[0.07898816440429059, 0.24529740375504533, 0.4157092302813915, 0.18110435505776729, 0.3389890509262648]","[0.07240698009783703, 0.08016816031801804, 0.09881454608853607, 0.06919316092051755, 0.13941176420861054]","[0.5243671355458478, 0.39360262297162113, 0.5398771798578461, 0.49946638269484367, 0.5234717859186497]","[7.240698009783703, 8.016816031801804, 53.98771798578461, 6.919316092051756, 23.835451880578123]"
"[0.23351007719478217, 0.13560911630997718, 0.32881296834745477, 0.39633658289312457, 0.304438642114928]","[0.09312022065586084, 0.1368160765570155, 0.061094495096105296, 0.08001499206768667, 0.10425729728964805]","[0.48783915169735387, 0.46094436294116314, 0.367588087061591, 0.432937694257097, 0.378081477056666]","[9.312022065586085, 13.68160765570155, 23.286871124037845, 43.2937694257097, 10.425729728964805]"
"[0.36157841306323946, 0.1948209510604199, 0.5427531485606975, 0.49402225198694616, 0.09004180258048373]","[0.0938571205231595, 0.05335559065175291, 0.1458722718526152, 0.06437709477307449, 0.09021533330196198]","[0.4003760750247817, 0.38327654984565923, 0.5222079761888596, 0.39517818103536007, 0.47199786768715696]","[9.38571205231595, 5.335559065175291, 52.22079761888596, 24.0363979334266, 9.021533330196197]"
"[0.06732449187530527, 0.1494088164606217, 0.11009464122284453, 0.2635130107936796, 0.2405047349638164]","[0.14306796935158644, 0.05057295491378441, 0.10034991784719394, 0.13299679363871864, 0.11425823080724891]","[0.38142928065208337, 0.4809413440955696, 0.4481493808462056, 0.5309179040618124, 0.373507278165295]","[14.306796935158644, 5.057295491378441, 10.034991784719393, 53.09179040618124, 17.50912538256228]"
"[0.2516686079446595, 0.1388322889305425, 0.52412359004517, 0.4723197806705187, 0.21827626799731586]","[0.09790975764171159, 0.1413040635147811, 0.11531106864797437, 0.13024208674874282, 0.10768021577693068]","[0.3954309255781935, 0.40870706764200393, 0.3996595148333951, 0.45720937747331936, 0.4505121565585529]","[9.790975764171158, 14.130406351478108, 39.96595148333951, 25.344644823318156, 10.768021577693068]"
"[0.2882539549928693, 0.280745775464205, 0.30210283543659205, 0.5445120461578232, 0.32388170983389036]","[0.09866463639772718, 0.0891230025680818, 0.05803338701604253, 0.052368687173626, 0.06068252302739378]","[0.47081955804257203, 0.4936836578312028, 0.4393238868870055, 0.531902515960769, 0.4212825124215862]","[9.866463639772718, 8.91230025680818, 5.803338701604253, 53.1902515960769, 22.227645805737957]"
"[0.44553448804540763, 0.5293025390563978, 0.1123941289755886, 0.168465417680074, 0.19644720849195413]","[0.1308410856691325, 0.13030630297749868, 0.06732090706935875, 0.05348023188138289, 0.09202558015056544]","[0.38798968603614775, 0.5099983624291763, 0.3679699757177483, 0.49847134548976696, 0.4250381439754054]","[27.717491846951667, 50.99983624291763, 6.7320907069358755, 5.348023188138289, 9.202558015056544]"
"[0.25097705234944573, 0.30770722824963853, 0.4815928225181458, 0.11259563143176556, 0.1420764547489764]","[0.14406434865231343, 0.11063050493288268, 0.060374947179145835, 0.0924132808652986, 0.13782264613605738]","[0.4776214568739861, 0.38714462464055316, 0.513269956612147, 0.5062306533128467, 0.500680622756299]","[14.406434865231343, 11.242976773418356, 51.3269956612147, 9.24132808652986, 13.782264613605738]"
"[0.1265806810477444, 0.09472467006160674, 0.5175124486761605, 0.0901945038171978, 0.531320560400433]","[0.09082410939555437, 0.09139932228302197, 0.07657678097844789, 0.05261048432796761, 0.0963284433062222]","[0.4554813495305189, 0.5331595951094084, 0.5052629806627364, 0.5185883711053324, 0.38510976397608443]","[9.082410939555437, 9.139932228302197, 38.00563200173715, 5.261048432796761, 38.510976397608445]"
"[0.07710677538014162, 0.3304536681679553, 0.2168168353646408, 0.46983034966805154, 0.18095363155363775]","[0.08363310483620547, 0.08961159811129549, 0.06368474224669904, 0.1438158852284812, 0.12558611706068412]","[0.4467564519837236, 0.44164415858434247, 0.5143999776135033, 0.4052567335956807, 0.5267335842988233]","[8.363310483620547, 32.183930226073066, 6.368474224669904, 40.525673359568074, 12.558611706068412]"
"[0.2177632578751783, 0.06573352173682158, 0.36119252451407513, 0.14248629155791004, 0.330888725970086]","[0.14971010305047178, 0.10479938275688291, 0.10256588280580406, 0.14414628335116705, 0.10278396533035104]","[0.4925465114363545, 0.4647547242620528, 0.3744530026498627, 0.4878588752694821, 0.4111872419048221]","[14.971010305047178, 10.47993827568829, 37.44530026498627, 14.414628335116705, 22.689122819161568]"
"[0.46028164553637413, 0.40921583510446174, 0.1283761901949485, 0.4191591823858851, 0.4722729788955142]","[0.10981213865952676, 0.05596476404704135, 0.056242721492192393, 0.05149100815012009, 0.11055202495877176]","[0.37703539533074487, 0.39498989415470287, 0.37097415151429436, 0.38062357197123325, 0.545375046651219]","[29.092645965942708, 5.596476404704135, 5.624272149219239, 5.149100815012009, 54.53750466512191]"
"[0.19083070636262345, 0.137873094016021, 0.4583179359729834, 0.28963434003663446, 0.3316031704322812]","[0.05178722449743687, 0.0813678135282818, 0.0819467341625523, 0.12439222003993927, 0.06869955749427123]","[0.5302230231360661, 0.39770606885888415, 0.5098153016936622, 0.3628369806438789, 0.47822208183086806]","[5.178722449743687, 8.13678135282818, 50.981530169366216, 12.439222003993928, 23.26374402406799]"
"[0.17868014117734288, 0.17098351973829012, 0.30672461900761, 0.16785008080986125, 0.4676252820478188]","[0.12079540493248817, 0.10123554224425219, 0.10969770740201812, 0.14784561279482145, 0.06581160161330388]","[0.48929822401767054, 0.3759218998904291, 0.3767895529506327, 0.5328338964231902, 0.47867116957596145]","[12.079540493248816, 10.123554224425218, 15.145227045247676, 14.784561279482144, 47.867116957596146]"
"[0.42644614826130905, 0.08530842616213054, 0.1507242568079274, 0.1464895826521087, 0.2500761579924686]","[0.06529844803089943, 0.06548599827407278, 0.05063566878009031, 0.14935150165254127, 0.1024095443587218]","[0.5341550308464024, 0.46249498774517334, 0.5407137338743159, 0.46077508745201134, 0.38716478437328394]","[53.415503084640235, 6.548599827407278, 5.063566878009031, 14.935150165254127, 20.037180044689322]"
"[0.34821925824849737, 0.09017406634758164, 0.32263315923662717, 0.05366785722692176, 0.30375474798304775]","[0.13262378742457853, 0.08141663659555246, 0.10667888374980586, 0.14748126124155964, 0.1202715960500284]","[0.50535641425794, 0.35713238129755925, 0.3908997545388399, 0.44386363849975197, 0.3720999433857877]","[50.535641425794, 8.141663659555245, 14.54740918549195, 14.748126124155963, 12.02715960500284]"
"[0.4388034036059457, 0.2098199987740007, 0.1790075569464134, 0.4611369307176968, 0.37831406907018444]","[0.14568517625412997, 0.14094351794348048, 0.05377333967495165, 0.09635916860243825, 0.10348400667982408]","[0.480240046178875, 0.5371528058792063, 0.378396525352192, 0.46919913964609083, 0.49725655162555504]","[23.259999605565305, 14.094351794348048, 5.377333967495165, 46.91991396460908, 10.348400667982407]"
"[0.42416913659810046, 0.1476986925648584, 0.0868041793313052, 0.09555751157441157, 0.1937592021232391]","[0.06296412022601756, 0.1139582945763706, 0.06633950310970041, 0.09152642388743035, 0.10329624296452006]","[0.48045501425855075, 0.48642744030166246, 0.41556275074327764, 0.3756910369373408, 0.3688894272138678]","[48.04550142585507, 11.39582945763706, 6.633950310970041, 9.152642388743034, 24.772076416794796]"
"[0.395243461317104, 0.3058286952853577, 0.1998946987570499, 0.46823797554424695, 0.35655298355089066]","[0.10323010872456559, 0.050169313476945844, 0.1258958159248611, 0.0806094130816977, 0.09461954012617768]","[0.49146699822233564, 0.5083069875893632, 0.4836550895536985, 0.4402985114311889, 0.3757237492293372]","[28.901681904082647, 5.016931347694585, 12.589581592486109, 44.02985114311889, 9.461954012617769]"
"[0.4711801407087399, 0.19085518814751312, 0.5368562258400862, 0.14847817153134912, 0.32309967754177105]","[0.05210848980985967, 0.1488739906819908, 0.12690170772077722, 0.1075362830441216, 0.12885745141888622]","[0.3651389561071065, 0.49406471306973654, 0.45691317890200933, 0.36771412560383887, 0.3643794895683809]","[15.781909595299204, 14.88739906819908, 45.691317890200935, 10.75362830441216, 12.885745141888622]"
"[0.09788811289408346, 0.14675858474378245, 0.2866240117237447, 0.2210936709261873, 0.19129698959410363]","[0.10571918618287124, 0.06561384713266805, 0.12225044679857035, 0.06821552468461306, 0.07808773408168747]","[0.5482435385001891, 0.5241263786786989, 0.4470764437635256, 0.48875216025515567, 0.3790092218309154]","[10.571918618287125, 6.561384713266804, 44.70764437635256, 30.35027888392476, 7.808773408168747]"
"[0.3676501851418832, 0.13691226384118088, 0.17569606571712748, 0.187676002318032, 0.37210844429122725]","[0.09101861271705, 0.1045828897744649, 0.06558935514776434, 0.1245100914226346, 0.053358067758915495]","[0.43126205991574895, 0.3804984965803623, 0.4898538984397841, 0.37248098714292666, 0.38681713222445047]","[31.850053143068568, 10.45828897744649, 6.558935514776435, 12.45100914226346, 38.68171322244505]"
"[0.4485499105669223, 0.2429004099921202, 0.09006304275887157, 0.2789452676158748, 0.3638194656611109]","[0.08080763003689868, 0.14400059707636514, 0.06633811463588929, 0.061217303022569516, 0.13214413089490581]","[0.48018036145880816, 0.5400873103857322, 0.5400882548418067, 0.44211637694549305, 0.5090704827873385]","[48.018036145880814, 14.400059707636515, 6.633811463588929, 6.121730302256951, 24.826362380636795]"
"[0.15626677606534867, 0.28754228922595493, 0.24238652217230677, 0.3318563359996924, 0.5173279441165973]","[0.09816595285353025, 0.08499633714502981, 0.08524732071541057, 0.11638229924021871, 0.08500935430042937]","[0.4786605890829315, 0.39312946881398825, 0.35099256614007157, 0.45641036956828296, 0.4797617841656832]","[9.816595285353024, 8.49963371450298, 8.524732071541056, 25.182860512034615, 47.976178416568324]"
"[0.4772054796343349, 0.5263825092814508, 0.251568366658358, 0.26394604224661294, 0.26830374225106735]","[0.05371623473476274, 0.05597803981718037, 0.1337052968047413, 0.05068035563018665, 0.12770734231784645]","[0.46630913515891115, 0.4825589354313365, 0.5406172686078651, 0.5462088312967296, 0.5121353554976025]","[20.5348069815889, 48.25589354313365, 13.37052968047413, 5.068035563018665, 12.770734231784644]"
"[0.419427501173629, 0.22185172475507753, 0.4652424087129929, 0.2779689087990459, 0.3090665675140632]","[0.13199482528668238, 0.1265366313904, 0.13677228234885158, 0.07757232191885845, 0.14713508084215668]","[0.4511482255770989, 0.39002464014277727, 0.40143811942244506, 0.4693921573187382, 0.4693690130775823]","[24.731784642613974, 12.65366313904, 40.143811942244504, 7.757232191885845, 14.713508084215668]"
"[0.46397912787239126, 0.22205179555818932, 0.2346661229821922, 0.11095945550496807, 0.08601540871720305]","[0.1421620306672084, 0.062170885101453605, 0.11480927677180307, 0.10271682164285949, 0.13075820472746563]","[0.37099032448689784, 0.5214758508285411, 0.48155690712401644, 0.5121384301567149, 0.5222206437961279]","[37.09903244868978, 6.21708851014536, 33.336376404132345, 10.271682164285949, 13.075820472746564]"
"[0.3114591609780938, 0.31277054685738015, 0.16650178448577724, 0.2436180397237837, 0.10261277148239163]","[0.1459766767359575, 0.14320989021892316, 0.0815323186480105, 0.10709873098450944, 0.13518786397218224]","[0.5380477494645521, 0.4254580332020438, 0.3588251101467134, 0.49519529447200417, 0.5173190209030779]","[25.072305319325416, 42.54580332020438, 8.15323186480105, 10.709873098450943, 13.518786397218225]"
"[0.31018914350383753, 0.14710314666660929, 0.12938329539317173, 0.2518610088533751, 0.1544876617020257]","[0.06582319443317071, 0.09878137740526469, 0.11879366405296952, 0.14379349218544085, 0.07121816856307298]","[0.3747892188337327, 0.44770214187371044, 0.4626452720362761, 0.43389998195271684, 0.46232825335500993]","[37.47892188337327, 9.87813774052647, 11.879366405296953, 33.64175711449601, 7.121816856307298]"
"[0.3116244865081132, 0.18662731339593147, 0.427751866006202, 0.42919788176228096, 0.36220220197052416]","[0.05254453183971996, 0.12186320912854237, 0.11195695921651994, 0.11829648610478917, 0.06429851004508201]","[0.3625754359551855, 0.5461922619752619, 0.5443322047023279, 0.5330994571766997, 0.40507836867798863]","[5.254453183971996, 12.186320912854237, 22.81942918099559, 53.30994571766997, 6.429851004508201]"
"[0.1703917044969097, 0.4042268751644328, 0.0844277031043656, 0.06757669364938158, 0.19193851016718466]","[0.07137352867914525, 0.07659760417291928, 0.09196115565801513, 0.0978044217785238, 0.1481023897316096]","[0.3998779119270644, 0.4436820744282682, 0.44615430053882416, 0.40019719478503746, 0.4883364454103882]","[7.137352867914524, 44.368207442826815, 9.196115565801513, 9.78044217785238, 29.517881945604763]"
"[0.14197858817685266, 0.10267342701335515, 0.29877959245368013, 0.12767721655299574, 0.1303125961095707]","[0.12628300166573286, 0.11167465400278419, 0.14905600671029268, 0.13615163963114196, 0.06405361870350733]","[0.3521707617745069, 0.5208107743902027, 0.4932441413080112, 0.532583770999739, 0.5295325714257837]","[19.487594635455537, 11.167465400278418, 49.32441413080112, 13.615163963114195, 6.405361870350733]"
"[0.07372582936936946, 0.4257215202415385, 0.45242756670625206, 0.1684105943739963, 0.2738231462774927]","[0.12345032153058678, 0.13942326293119486, 0.06056241686963239, 0.08033268240894102, 0.09848688620489396]","[0.47114100865801944, 0.5159003842216577, 0.5277228830992442, 0.4315797302453964, 0.4124732020198284]","[12.345032153058678, 17.000722675633398, 52.77228830992442, 8.033268240894103, 9.848688620489396]"
"[0.40655045658002154, 0.12204898361425877, 0.18797628104133746, 0.5056229576881347, 0.11581855531196729]","[0.11868750610073445, 0.13249727919234205, 0.14022476271268042, 0.09325666212844572, 0.07927164667331296]","[0.4879915892176798, 0.3837462035315495, 0.3862907464972217, 0.35615622619827336, 0.3639940702565472]","[29.185008522339125, 13.249727919234205, 14.022476271268042, 35.615622619827334, 7.927164667331296]"
